Max, 9279, Obj, 721, Reliability, 13.33333%, HowOften, 4, When, 324
Generation, Min, Avg, Max, Obj
251, 9217.434, 9226.672, 9250.134, 749.8666
252, 9217.8, 9226.948, 9250.134, 749.8666
253, 9218.033, 9227.207, 9250.2, 749.8
254, 9218.533, 9227.512, 9250.2, 749.8
255, 9218.866, 9227.73, 9250.2, 749.8
256, 9219.033, 9227.906, 9250.3, 749.7
257, 9219.366, 9228.165, 9250.333, 749.6667
258, 9219.7, 9228.407, 9250.4, 749.6
259, 9220.167, 9228.653, 9250.4, 749.6
260, 9220.333, 9228.848, 9250.4, 749.6
261, 9220.8, 9229.065, 9250.533, 749.4667
262, 9220.934, 9229.278, 9250.6, 749.4
263, 9221.333, 9229.452, 9250.6, 749.4
264, 9221.7, 9229.691, 9250.6, 749.4
265, 9222.134, 9229.948, 9250.767, 749.2333
266, 9222.3, 9230.145, 9250.767, 749.2333
267, 9222.6, 9230.374, 9250.967, 749.0333
268, 9222.9, 9230.579, 9251.267, 748.7333
269, 9223.233, 9230.807, 9251.267, 748.7333
270, 9223.4, 9231.009, 9251.5, 748.5
271, 9223.7, 9231.202, 9251.5, 748.5
272, 9223.934, 9231.449, 9251.566, 748.4333
273, 9224.233, 9231.643, 9251.634, 748.3666
274, 9224.566, 9231.866, 9251.667, 748.3333
275, 9224.866, 9232.047, 9252, 748
276, 9224.967, 9232.259, 9252.167, 747.8333
277, 9225.3, 9232.435, 9252.167, 747.8333
278, 9225.533, 9232.668, 9252.167, 747.8333
279, 9225.767, 9232.838, 9252.167, 747.8333
280, 9225.866, 9233.004, 9252.2, 747.8
281, 9226.1, 9233.173, 9252.2, 747.8
282, 9226.333, 9233.321, 9252.2, 747.8
283, 9226.667, 9233.497, 9252.2, 747.8
284, 9226.866, 9233.681, 9252.2, 747.8
285, 9227.134, 9233.894, 9252.3, 747.7
286, 9227.366, 9234.048, 9252.3, 747.7
287, 9227.634, 9234.222, 9252.3, 747.7
288, 9227.934, 9234.437, 9252.4, 747.6
289, 9228.233, 9234.618, 9252.4, 747.6
290, 9228.366, 9234.755, 9252.566, 747.4333
291, 9228.7, 9234.953, 9252.667, 747.3333
292, 9228.833, 9235.068, 9252.667, 747.3333
293, 9228.967, 9235.233, 9252.667, 747.3333
294, 9229.2, 9235.44, 9252.667, 747.3333
295, 9229.6, 9235.595, 9252.667, 747.3333
296, 9229.733, 9235.757, 9252.8, 747.2
297, 9229.833, 9235.882, 9252.8, 747.2
298, 9229.967, 9236.04, 9252.833, 747.1667
299, 9230.134, 9236.226, 9252.833, 747.1667
300, 9230.4, 9236.372, 9252.866, 747.1334
301, 9230.566, 9236.521, 9252.866, 747.1334
302, 9230.7, 9236.672, 9252.866, 747.1334
303, 9230.934, 9236.812, 9253.134, 746.8666
304, 9231.033, 9236.963, 9253.134, 746.8666
305, 9231.033, 9237.12, 9253.134, 746.8666
306, 9231.167, 9237.279, 9253.134, 746.8666
307, 9231.333, 9237.435, 9253.5, 746.5
308, 9231.733, 9237.59, 9253.767, 746.2333
309, 9231.866, 9237.754, 9253.767, 746.2333
310, 9231.934, 9237.885, 9253.767, 746.2333
311, 9232.033, 9238.047, 9253.767, 746.2333
312, 9232.233, 9238.168, 9253.767, 746.2333
313, 9232.366, 9238.328, 9253.767, 746.2333
314, 9232.634, 9238.471, 9253.767, 746.2333
315, 9233.134, 9238.603, 9253.767, 746.2333
316, 9233.434, 9238.722, 9253.767, 746.2333
317, 9233.533, 9238.853, 9253.767, 746.2333
318, 9233.667, 9238.95, 9253.767, 746.2333
319, 9233.833, 9239.112, 9253.8, 746.2
320, 9234, 9239.228, 9253.8, 746.2
321, 9234.167, 9239.353, 9253.866, 746.1334
322, 9234.3, 9239.504, 9253.866, 746.1334
323, 9234.5, 9239.653, 9253.866, 746.1334
324, 9234.566, 9239.792, 9253.866, 746.1334
325, 9234.667, 9239.921, 9253.866, 746.1334
326, 9234.833, 9240.057, 9253.866, 746.1334
327, 9235, 9240.232, 9253.866, 746.1334
328, 9235.167, 9240.368, 9254.233, 745.7667
329, 9235.366, 9240.497, 9254.267, 745.7333
330, 9235.6, 9240.627, 9254.267, 745.7333
331, 9235.833, 9240.719, 9254.267, 745.7333
332, 9236.233, 9240.816, 9254.267, 745.7333
333, 9236.4, 9240.926, 9254.267, 745.7333
334, 9236.533, 9241.062, 9254.267, 745.7333
335, 9236.667, 9241.205, 9254.267, 745.7333
336, 9236.8, 9241.326, 9254.267, 745.7333
337, 9236.934, 9241.423, 9254.333, 745.6667
338, 9237.2, 9241.546, 9254.333, 745.6667
339, 9237.267, 9241.705, 9254.366, 745.6334
340, 9237.434, 9241.811, 9254.366, 745.6334
341, 9237.6, 9241.905, 9254.366, 745.6334
342, 9237.7, 9242.007, 9254.366, 745.6334
343, 9237.8, 9242.104, 9254.366, 745.6334
344, 9237.934, 9242.219, 9254.667, 745.3333
345, 9238, 9242.311, 9254.667, 745.3333
346, 9238.1, 9242.448, 9254.667, 745.3333
347, 9238.233, 9242.561, 9254.8, 745.2
348, 9238.366, 9242.684, 9254.866, 745.1334
349, 9238.6, 9242.793, 9254.866, 745.1334
350, 9238.634, 9242.904, 9254.934, 745.0667
351, 9238.733, 9243.012, 9254.934, 745.0667
352, 9238.866, 9243.107, 9254.934, 745.0667
353, 9238.9, 9243.208, 9255.2, 744.8
354, 9239.1, 9243.313, 9255.2, 744.8
355, 9239.533, 9243.42, 9255.4, 744.6
356, 9239.6, 9243.545, 9255.4, 744.6
357, 9239.733, 9243.64, 9255.4, 744.6
358, 9239.866, 9243.716, 9255.434, 744.5667
359, 9240.066, 9243.821, 9255.467, 744.5333
360, 9240.134, 9243.902, 9255.467, 744.5333
361, 9240.233, 9243.996, 9255.467, 744.5333
362, 9240.3, 9244.078, 9255.467, 744.5333
363, 9240.4, 9244.196, 9255.533, 744.4667
364, 9240.533, 9244.287, 9255.533, 744.4667
365, 9240.634, 9244.368, 9255.833, 744.1667
366, 9240.733, 9244.456, 9256.1, 743.9
367, 9240.866, 9244.536, 9256.434, 743.5667
368, 9240.967, 9244.619, 9256.434, 743.5667
369, 9241.1, 9244.701, 9256.434, 743.5667
370, 9241.167, 9244.769, 9256.434, 743.5667
371, 9241.233, 9244.863, 9256.434, 743.5667
372, 9241.333, 9244.957, 9256.434, 743.5667
373, 9241.434, 9245.035, 9256.434, 743.5667
374, 9241.5, 9245.11, 9256.434, 743.5667
375, 9241.566, 9245.191, 9256.434, 743.5667
376, 9241.667, 9245.274, 9256.434, 743.5667
377, 9241.7, 9245.359, 9256.566, 743.4333
